,Norad_ID,Name,EPOCH,Label,dbscan_labels,SMA_Class,SMA_Cluster,Semi-major axis(m),Inclination,Raan,Mean_Longitude,Sub_Longitude,mean-longitude at last epoch ,Type of Arrangement
58,44937.0,0 STARLINK-1079,2021-02-11 22:05:21,0.008,4.0,0.0,8.0,6925377.968452911,53.05931897210441,359.4937285420297,359.28205831079924,-114.03375361834496,298.1232549503675,-1
59,44940.0,0 STARLINK-1091,2021-02-11 21:44:06,0.008,4.0,0.0,8.0,6925357.136484018,53.05951897217592,359.56512856755967,359.35446136775045,-108.63445898721342,18.232479513891576,-1
60,45191.0,0 STARLINK-1236,2021-02-12 10:49:40,0.008,5.0,0.0,8.0,6925346.764998701,53.05761897149655,77.13282757992539,76.97215846498965,132.00420683544766,76.97215846498965,-1
61,45183.0,0 STARLINK-1202,2021-02-12 08:42:17,0.008,5.0,0.0,8.0,6925361.519245097,53.05901897199714,77.53162772252197,77.36635553408577,164.33627190667843,197.09064210706697,-1
62,45195.0,0 STARLINK-1241,2021-02-12 03:29:07,0.008,5.0,0.0,8.0,6925384.827681896,53.05831897174686,78.51892807554508,78.34483396568379,-116.17268720568988,297.44310029372446,-1
63,45179.0,0 STARLINK-1143,2021-02-12 03:23:49,0.008,5.0,0.0,8.0,6925397.25586347,53.0598189722832,78.52502807772622,78.3562381446632,-114.83768013955162,317.4096278678262,-1
64,45189.0,0 STARLINK-1230,2021-02-12 02:41:20,0.008,5.0,0.0,8.0,6925336.923770019,53.0591189720329,78.65882812556829,78.48877740520885,-104.05373831377013,117.55674502164334,-1
65,45181.0,0 STARLINK-1200,2021-02-12 01:27:03,0.008,5.0,0.0,8.0,6925367.894182689,53.0584189717826,78.8903282083444,78.72010471538033,-85.19967309903437,37.52559751040371,-1
66,45086.0,0 STARLINK-1181,2021-02-11 21:20:52,0.008,6.0,0.0,8.0,6926067.697133219,53.00301895197354,279.3867998986727,279.23167616483033,177.01192242625095,166.61934147229897,1
67,45087.0,0 STARLINK-1185,2021-02-11 22:26:34,0.008,6.0,0.0,8.0,6925341.9225336285,53.0584189717826,279.45629992352343,279.3047868922683,160.6117965258334,279.3047868922683,1
