,NORAD ID,SATNAME,EPOCH,MEAN MOTION(rev/day),SEMI MAJOR (m),ORBITAL PERIOD(sec),ECCENTRICITY,SEMI LATUS RECTUM(m),INCLINATION(deg),RIGHT ASCENSION ASCENDING NODE(deg),ARGUMENT PERIGEE(deg),ALTITUDE PERIGEE(km),ALTITUDE APOGEE(km),AVERAGE ALTITUDE(km),CIRCULAR ORBIT,ORBIT CLASS,ANNUAL PRECESSION(rad/yr),SUN-SYNCHRONOUS,MEAN LOCAL TIME ASCENDING NODE,DAYS,MEAN ANAMOLY(deg)
13,37941,0 YAOGAN 13,2021-02-12 09:18:19,15.187053869998055,6887889.200233165,5689.056003856193,0.0001147,6887889.109615475,97.5782348904678,345.08272338917243,9.874503530767367,516.0991593418985,517.6792411244314,516.889200233165,True,LEO,6.400350022810647,True,13.372418079165607,56.00308324144862,104.8347
14,38257,0 YAOGAN 14,2021-02-12 08:52:10,15.235467419998054,6873289.756363545,5670.97796334042,0.000183,6873289.526183944,97.47263485270905,180.05486438114457,101.3783362492474,501.0319443381295,503.54756838895895,502.28975636354426,True,LEO,6.3587210701593335,True,2.371754058598473,53.000734264292994,335.9374
15,38354,0 YAOGAN 15,2021-02-12 07:52:39,13.182624309998314,7569501.123166205,6554.081946678106,0.0025424,7569452.195441801,100.60633597320783,189.85536788545215,28.853910317120718,1179.2564235106677,1217.7458228217438,1198.5011231662054,True,LEO,6.4203182774475325,True,3.0278367547636624,17.000160599556693,331.3978
16,39011,0 YAOGAN 16A,2021-02-11 23:29:02,13.45204753999828,7468090.617468491,6422.8140543733825,0.0269163,7462680.081365203,63.37052265902004,279.952800101054,13.363904778451767,896.0772499815239,1298.1039849554581,1097.090617468491,False,LEO,,False,,,347.4336
17,39012,0 YAOGAN 16B,2021-02-11 23:30:06,13.452010359998276,7468104.378161694,6422.831806383691,0.026929900000000003,7462688.363133987,63.37282265984246,280.05840013881283,13.16500470733226,895.9890740682376,1298.2196822551505,1097.104378161694,False,LEO,,False,,,347.62260000000015
18,39013,0 YAOGAN 16C,2021-02-11 23:28:01,13.45206524999828,7468084.0628410615,6422.805598568662,0.026898900000000003,7462680.524484526,63.37252265973518,279.4048999051446,12.911204616582475,896.2008164431053,1297.9673092390158,1097.0840628410606,False,LEO,,False,,,347.8625
19,39239,0 YAOGAN 17A,2021-02-11 22:45:47,13.45204053999828,7468093.208234289,6422.817396594832,0.0251736,7463360.601864467,63.40362267085542,73.82412639685283,5.122301831550932,909.0944170474824,1285.0919994210954,1097.0932082342888,False,LEO,,False,,,355.2293
20,39240,0 YAOGAN 17B,2021-02-11 22:46:09,13.452050469998277,7468089.533048619,6422.812655416014,0.0251893,7463351.024007852,63.40452267117722,73.99402645760298,4.8524017350443645,908.9735853737967,1285.2054807234408,1097.0895330486187,False,LEO,,False,,,355.4861
21,39241,0 YAOGAN 17C,2021-02-11 22:45:51,13.452049839998276,7468089.766217362,6422.812956215669,0.0252322,7463335.10293549,63.40372267089118,73.06212612438894,4.87820174426952,908.6534316182132,1285.5261008165126,1097.089766217363,False,LEO,,False,,,355.462
22,39363,0 YAOGAN 18,2021-02-12 10:31:22,15.925085759997964,6673402.527100752,5425.4024940341,0.0010839,6673394.686925799,97.21583476088655,111.23653977418648,11.237004017948546,295.1692261016278,309.63582809987656,302.4025271007522,True,LEO,6.809692543255293,False,,38.00876847735344,359.2649
23,39410,0 YAOGAN 19,2021-02-12 07:37:02,13.15264390999832,7580999.472661635,6569.02145235763,0.0007366,7580995.359366277,100.137035805403,88.44613162515608,269.98769653789134,1204.4153084500729,1215.583636873197,1209.999472661635,True,LEO,6.106676293669896,True,20.267933605796014,61.99486480469932,90.0396
24,40109,0 YAOGAN 20A,2021-02-11 23:06:53,13.451968669998276,7468119.808126796,6422.851711861064,0.0216757,7464611.016809009,63.39532266788764,1.5307005473234705,6.518102330638998,935.243083601782,1258.9965326518104,1097.1198081267962,False,LEO,,False,,,353.8584
25,40110,0 YAOGAN 20B,2021-02-11 23:07:09,13.451973259998276,7468118.109309271,6422.849520294907,0.0216803,7464607.829366097,63.395022667780374,2.3894008543638208,6.56570234765905,935.2070682640132,1259.0291503545295,1097.1181093092714,False,LEO,,False,,,353.8128
26,40111,0 YAOGAN 20C,2021-02-11 23:06:49,13.451965439998279,7468121.003591559,6422.853254075186,0.0216658,7464615.416139808,63.394222667494326,2.2831008163547497,6.747502412664218,935.3181875519458,1258.9238196311735,1097.1210035915597,False,LEO,,False,,,353.63840000000016
27,40143,0 YAOGAN 21,2021-02-12 09:17:57,15.235357159998053,6873322.9181729015,5671.019004848255,0.0017809999999999996,6873301.116260665,97.41163483089764,113.66114064113657,142.20995084916444,490.0815300556352,514.5643062901671,502.32291817290115,True,LEO,6.307038197483746,True,21.94432929394025,49.00206104314566,279.0933
28,40275,0 YAOGAN 22,2021-02-12 07:23:30,13.15426567999832,7580376.35970046,6568.211567398639,0.0005667999999999999,7580373.92441177,100.51433594031195,161.22195764717438,276.2300987699499,1205.0798023797815,1213.6729170211393,1209.3763597004604,True,LEO,6.333274977524546,True,1.1202728780525586,27.00037582072401,83.81680000000001
29,40305,0 YAOGAN 23,2021-02-12 10:04:58,15.186234909998062,6888136.830409387,5689.3628020410315,0.000219,6888136.500047457,97.55053488056328,348.08552446286615,71.36762551849645,515.6283284435276,518.6453323752456,517.1368304093867,True,LEO,6.376289336360025,True,13.570476138424855,45.00236873196263,41.6054
30,40310,0 YAOGAN 24,2021-02-12 09:33:19,14.762896649998114,7019197.381450314,5852.509981502238,0.0020721,7019167.243835597,97.9210350130408,166.55795955513676,58.41222088610965,633.6529025562112,662.7418603444166,648.197381450314,True,LEO,6.260362222392013,True,1.47008269419978,64.99920646394457,301.91050000000007
31,40338,0 YAOGAN 25A,2021-02-12 05:45:05,13.451986849998276,7468113.079482658,6422.843031548972,0.0191855,7465364.190952227,63.40212267031907,289.55290353370566,1.3902004970857051,953.8335959962424,1240.392562969072,1097.1130794826572,False,LEO,,False,,,358.7615
