,Name,Label,Semi-major axis(m),Inclination,Raan
140,0 OPS 7898 (P/L 1),0.05,7363464.474258011,69.98932502566576,87.3009312156736
141,0 OPS 7898 (P/L 2),0.05,7361523.652740791,69.9878250251294,69.13402471984112
142,0 OPS 7898 (P/L 3),0.05,7361884.57428787,69.98902502555849,71.98412573893476
143,0 OPS 7898 (P/L 4),0.05,7361856.8498996785,69.98912502559422,72.28912584799185
144,0 COSMOS 465,0.05,7362699.167882383,74.02892647008196,305.1710091181787
145,0 COSMOS 468,0.08,7150774.446541314,74.01672646571969,227.429881320747
146,0 COSMOS 469,0.34,7356137.670902649,64.48882305888405,28.963710356381263
147,0 COSMOS 475,0.34,7355559.567243388,74.04942647741204,132.76924747350841
148,0 OPS 5058 (DMSP 5B F2),0.06,7189496.293578763,98.93273537478844,153.68445495203449
149,0 METEOR 1-11,0.55,7241946.2779816035,81.2222290421483,24.94400891908059
150,0 COSMOS 489,0.34,7356448.095913319,74.02262646782931,332.093918744843
151,0 COSMOS 494,0.08,7151171.237040537,74.05432647916409,60.38422159122618
152,0 COSMOS 504,0.19,7786346.8463794775,74.0279264697244,164.11545868178632
153,0 COSMOS 505,0.4,7802001.903934333,74.03072647072557,334.1999194978731
154,0 COSMOS 506,0.37,7816953.882594927,74.02782646968865,135.55334846900283
155,0 COSMOS 507,0.12,7831710.415523978,74.0279264697244,293.29230487078115
156,0 COSMOS 508,0.0,7847388.2669407325,74.0263264691523,99.3950355400904
157,0 LANDSAT 1 (ERTS 1),0.29,7280398.113659589,99.25873549135441,13.331504766866695
158,0 COSMOS 516,0.13,7350254.877460738,64.80932317348336,186.4418666649069
159,0 TRIAD 1,0.03,7106809.438437855,89.92593215427955,214.7228767771791
160,0 COSMOS 521,0.25,7368928.432354905,65.8282235378055,43.400615518499386
161,0 NOAA 2 (ITOS-D),0.56,7829559.271942244,101.88893643181969,18.909606761395377
162,0 OSCAR 6,0.56,7829442.865666936,101.91553644133087,22.296807972536726
163,0 METEOR 1-13,0.55,7241144.209780184,81.27002905923985,243.42768704098702
164,0 COSMOS 528,0.52,7794605.017499357,74.03312647158374,269.13299623228124
165,0 COSMOS 529,0.09,7812774.908767598,74.03402647190555,103.74943709706776
166,0 COSMOS 530,0.04,7777931.580267332,74.03362647176253,87.80923139742346
167,0 COSMOS 531,0.21,7822768.143024825,74.03292647151223,210.34837521301463
168,0 COSMOS 532,0.16,7761335.60047707,74.03292647151223,265.3468948785075
169,0 COSMOS 533,0.33,7770017.730067234,74.03762647319277,0.9013003222725836
170,0 COSMOS 534,0.19,7786130.271100547,74.03512647229888,177.4721634576636
171,0 COSMOS 535,0.28,7803932.7937658625,74.03722647304974,9.433103372938543
172,0 OPS 7323 (DMSP 5B F3),0.53,7176787.4757523,98.45023520226377,239.96458580270644
173,0 COSMOS 540,0.43,7148279.593636327,74.0793264881032,77.92402786283016
174,0 OPS 6063,0.17,42165587.00858607,5.290501891693227,289.9071036603549
175,0 COSMOS 564,0.59,7815275.065553139,74.01782646611301,103.38503696677144
176,0 COSMOS 565,0.0,7847099.007421114,74.01722646589846,76.0567271951506
177,0 COSMOS 566,0.3,7835675.446689666,74.01982646682814,317.3787134832148
178,0 COSMOS 567,0.48,7825668.124719506,74.01622646554091,213.0161761669244
179,0 COSMOS 568,0.28,7805583.133987472,74.02122646732872,1.302100465584302
180,0 COSMOS 569,0.14,7796403.291900299,74.01632646557665,263.1821941044884
181,0 COSMOS 570,0.19,7786722.044744997,74.0192264666136,159.42555700484613
182,0 COSMOS 571,0.04,7776914.227271654,74.01762646604149,53.42581910315168
183,0 COSMOS 574,0.25,7369876.578250063,82.95102966030521,190.67306817783242
184,0 OPS 8364 (DMSP 4),0.26,7163441.362638998,98.78093532051024,240.22338589524415
185,0 OPS 8314 (2),0.51,7819537.0941052735,95.64163419800907,170.97006113274563
186,0 COSMOS 585,0.44,7767422.738433292,74.02512646872323,327.3305170416218
187,0 COSMOS 586,0.05,7359261.505214731,82.9439296577665,169.249360517485
188,0 COSMOS 588,0.0,7848497.400759776,73.99962645960534,62.60582238559074
189,0 COSMOS 589,0.56,7829292.606461924,73.99802645903323,224.5098802766597
190,0 COSMOS 590,0.58,7838154.431588396,74.0031264608568,316.1880130574632
191,0 COSMOS 591,0.52,7794041.515773071,73.99872645928353,213.25467625220344
192,0 COSMOS 592,0.57,7785179.7009779075,74.00072645999866,119.94284288724735
193,0 COSMOS 593,0.4,7802419.739057861,74.00202646046348,302.63610821178935
194,0 COSMOS 594,0.09,7810968.857635734,74.00142646024895,33.48231197207071
195,0 COSMOS 595,0.51,7819933.549173477,74.00022645981988,127.11324545112551
196,0 OPS 6630 (2),0.09,7813079.747896108,96.94123466269943,163.30395839162296
197,0 COSMOS 617,0.19,7786725.726042584,74.029326470225,177.68596353411084
198,0 COSMOS 618,0.36,7843090.762209735,74.02872647001045,45.839816390669895
199,0 COSMOS 619,0.54,7833467.22914401,74.02982647040379,307.5112099549503
200,0 COSMOS 620,0.32,7854051.451936739,74.02992647043953,157.38575627548676
201,0 COSMOS 621,0.21,7823299.263776118,74.02772646965289,201.18597193686875
202,0 COSMOS 622,0.28,7804892.012622423,74.03142647097587,9.897403538955588
203,0 COSMOS 623,0.59,7813838.094547544,74.02832646986744,102.88223678698814
204,0 COSMOS 624,0.14,7795943.14591925,74.0279264697244,275.13909837984744
205,0 COSMOS 627,0.5,7367423.65958331,82.9540296613779,119.51064273270815
206,0 COSMOS 628,0.34,7357129.536923719,82.95782966273667,186.25226659711274
207,0 METEOR 1-16,0.18,7224098.853253342,81.22942904472275,146.02555221348626
208,0 COSMOS 641,0.09,7812188.305040303,74.01652646564816,70.12232507322179
209,0 COSMOS 642,0.04,7777258.970165994,74.01662646568391,64.49662306167306
210,0 COSMOS 643,0.52,7794699.047334232,74.01502646511183,248.87118898738757
211,0 COSMOS 644,0.19,7786057.670547012,74.01842646632754,156.0719558057189
212,0 COSMOS 645,0.4,7803151.153304171,74.0210264672572,336.52642032974614
213,0 COSMOS 646,0.21,7821845.0647092825,74.01802646618451,169.24246051501785
214,0 COSMOS 647,0.12,7830794.906299252,74.01522646518332,261.4833934970584
215,0 COSMOS 648,0.36,7841221.115726507,74.02042646704267,7.940302839166756
216,0 COSMOS 650,0.16,7761979.485057658,74.04412647551695,358.63392823459594
217,0 COSMOS 660,0.15,7137665.415017611,82.9467296587677,115.22684120097477
218,0 COSMOS 663,0.34,7357649.958376488,82.95252966084158,179.87536431696185
219,0 OPS 6983 (DMSP 5C F1),0.53,7176689.644661147,98.6793352841817,246.98748831384395
220,0 COSMOS 675,0.33,7771700.757093728,74.0607264814525,15.74450562966903
221,0 COSMOS 676,0.26,7161172.331661059,74.04702647655388,64.97162323151603
222,0 COSMOS 677,0.49,7809396.991358605,74.03372647179826,64.31402299638185
223,0 COSMOS 681,0.0,7846669.775048967,74.03372647179826,83.03702969105575
224,0 COSMOS 682,0.58,7837363.209023599,74.03832647344308,349.10482482733124
225,0 COSMOS 683,0.56,7828112.11718513,74.03242647133344,255.68719142454486
226,0 COSMOS 684,0.51,7818958.813829677,74.0357264725134,162.8460582278944
227,0 COSMOS 689,0.25,7369947.768715039,82.94472965805257,175.26096266701768
228,0 COURIER 1B,1.1400000000000001,7463945.699221233,28.329410129578317,319.7135143180556
229,0 TRANSIT 4A,1.3,7300525.415578159,66.81192388954139,342.8172225791108
230,0 TIROS 3,1.28,7123198.787208092,47.89791712657272,233.05118333072244
231,0 TRANSIT 4B,1.08,7400973.492466847,32.43871159891675,52.32631871000988
232,0 TRAAC,1.08,7405056.815984143,32.43961159923855,187.08866689617943
233,0 TIROS 5,1.2,7081374.067058335,58.09022077097398,167.39485985438225
234,0 ALOUETTE 1 (S-27),1.19,7380708.883765963,80.46392877100737,26.104009333855014
235,0 ANNA 1B,1.17,7505064.87696825,50.140017928267355,207.7206742734433
236,0 EXPLORER 16,1.27,7323715.432400572,52.00111859373001,256.59469174903444
237,0 HITCH HIKER 1,1.0,7059906.172443016,81.97902931275286,238.6450853309006
238,0 TRANSIT 5B-1,1.1400000000000001,7471281.5410785135,90.04223219586424,332.83771901079916
239,0 RADIATION SAT (5E 1),1.1400000000000001,7469360.4656361025,90.04293219611453,332.7689189861988
240,0 TIROS 8,1.24,7040554.1922066035,58.49622091614503,40.73451456519757
241,0 OPS 3367 A,1.09,7173573.142420216,99.12913544501407,237.384984880334
242,0 SYNCOM 3,1.06,42185552.767297775,2.2382008003001186,76.8650274841697
243,0 COSMOS 44,1.0,7059119.8772139475,65.06162326369682,320.5039146006743
244,0 OPS 5798 (TRANSIT 5B-4),1.26,7437702.879112946,90.16753224066704,34.94911249654584
245,0 EXPLORER 22,1.21,7334367.954340821,79.68922849400242,99.80773568765713
246,0 CALSPHERE 2,1.26,7440508.647707831,90.16833224095308,35.08151254388732
247,0 OPS 6582 (TRANSIT 5E-5),1.08,7407812.068223532,89.99473217887993,187.3308669827815
248,0 OPS 6582 (TRANSIT 5B-5),1.23,7425659.268494965,90.02043218806935,194.11026940685198
249,0 GGSE 3,1.29,7269741.617518823,70.07692505698836,183.1607654917032
250,0 OSCAR 3,1.25,7249668.62125088,70.07572505655929,314.4810124471012
251,0 INTELSAT 1-F1,1.22,42154292.66566104,2.448500875495863,76.43112732902263
252,0 EXPLORER 27,1.04,7492478.700244198,41.18721472706686,82.83652961936413
253,0 OPS 8480 (TRANSIT 5B-6),1.12,7445275.877133203,89.9260321543153,306.31260952637393
