,Name,Label,Semi-major axis(m),Inclination,Raan
48,0 OV2-1,0.41,7093156.29610003,32.29791154857171,63.9761228755609
49,0 EXPLORER 30,0.29,7135827.256948813,59.708521349620064,32.263411536235736
50,0 OPS 1509 (TRANSIT 10),0.33,7348228.039111775,89.06253184555864,67.40022409989635
51,0 ESSA 1 (OT-3),0.13,7113778.306098724,97.88963500181328,176.00906293451146
52,0 DIAPASON (D1-A),0.07,7801338.596059881,34.094312190899984,278.12229944653285
53,0 ESSA 2 (OT-2),0.03,7762584.345069834,101.22143619314558,333.5099192511538
54,0 OPS 1117 (TRANSIT 12),0.38,7361271.684817603,89.70593207561541,160.48875738500834
55,0 OPS 0340,0.06,7081763.960449748,98.0489350587733,256.4223916874261
56,0 OAO 1,0.2,7156876.668158021,35.044212530550176,185.932366482728
57,0 WESTFORD NEEDLES,0.44,10000669.251164194,87.30313121646023,214.36427664895663
58,0 WESTFORD NEEDLES,0.47,10012690.19585583,87.34823123258639,7.32150261790605
59,0 WESTFORD NEEDLES,0.47,10010379.100770297,87.56693131078566,94.54693380658354
60,0 WESTFORD NEEDLES,0.15,9995759.7255416,87.10503114562677,292.06190443083426
61,0 WESTFORD NEEDLES,0.15,9989461.094217697,87.28013120823627,356.4108274396952
62,0 WESTFORD NEEDLES,0.47,10010399.834134132,87.31133121939226,344.9748233505913
63,0 WESTFORD NEEDLES,0.44,9999160.861968387,87.19163117659184,272.2035973302177
64,0 WESTFORD NEEDLES,0.15,9994515.187686307,87.07393113450651,293.7751050434132
65,0 OV3-3,0.21,7658172.347951624,81.38902910179,168.933660404602
66,0 OPS 2366 (TRANSIT 14),0.04,7437952.868815151,88.8485317690399,291.0052040529962
67,0 OPS 0856,0.28,10064228.660923457,90.2592322734557,254.86139112926847
68,0 SECOR 7 (EGRS 7),0.28,10066190.426446773,90.26173227434955,255.9313915118621
69,0 ERS 15,0.28,10070436.805686733,90.26063227395626,255.76299145164833
70,0 WESTFORD NEEDLES,0.15,9994126.55942847,87.44933126873613,12.673904531732495
71,0 ESSA 3 (TOS-A),0.22,7814133.898005714,100.91663608416002,46.64671667918845
72,0 OPS 1920,0.28,10069033.499007253,89.72183208130068,46.37101658060799
73,0 SECOR 8 (EGRS 8),0.28,10071785.627834607,89.7213320811219,46.46971661589958
74,0 ESSA 4 (TOS-B),0.03,7760696.950486957,101.933536447767,133.02134756365032
75,0 OPS 6073 (DMSP 4A F2),0.12,7179699.24679571,98.92973537371576,320.5718146249529
76,0 INTELSAT 2-F3,0.24,42161805.78440906,1.06020037908953,319.4209142134323
77,0 ESSA 5,0.35,7766180.263460248,101.7835363941324,143.59095134296058
78,0 WESTFORD NEEDLES,0.44,10000352.090056157,87.21253118406494,280.47950028938305
79,0 COSMOS 158,0.02,7147875.986262263,74.03922647376488,50.35801800621632
80,0 OPS 7218 (TRANSIT 16),0.32,7449469.974706996,89.63283204947744,54.07731933610473
