,0,points,smoothed_points
90,2005-01-08 20:01:44,98.54943523773413,98.54709972986413
91,2005-01-08 21:42:20,98.5499352379129,98.54696023628102
92,2005-01-09 04:24:44,98.55053523812744,98.54679278055961
93,2005-03-17 04:19:00,98.54073523462331,98.5466084773385
94,2005-03-18 10:29:47,98.54213523512392,98.54640725413576
95,2005-03-20 02:44:10,98.5451352361966,98.54616865974481
96,2005-03-20 11:07:09,98.54563523637538,98.54621424403256
97,2005-03-20 21:10:45,98.54613523655416,98.54620430948914
98,2005-03-21 00:31:57,98.54623523658992,98.54615198891959
99,2005-03-21 08:54:57,98.54643523666144,98.54605967648992
100,2005-03-21 13:56:44,98.54673523676873,98.54595243279937
101,2005-03-21 22:19:44,98.54783523716202,98.54583664531093
