,Norad_ID,Name,Label,dbscan_labels,Semi-major axis(m),Inclination,Raan
3670,41105.0,0 ELEKTRO-L 2,0.006999999999999999,1.0,42164980.90166676,1.7756006348909352,94.12063365415396
3612,40880.0,0 GSAT 6,0.006999999999999999,2.0,42164926.23536978,0.0784000280330307,275.459898494554
2640,28358.0,0 INTELSAT 1002,0.006999999999999999,8.0,42164833.72357853,0.03940001408802818,261.2313934069522
6157,47256.0,0 CMS-01,0.006999999999999999,1.0,42164955.39070611,0.033500011978399594,103.09193686196934
2911,33278.0,0 INMARSAT 4-F3,0.006999999999999999,-1.0,42164903.247543976,3.179001136696487,14.78650528712256
2910,33275.0,0 AMC-21,0.006999999999999999,0.0,42164880.540088266,0.013800004934385506,287.83370291898143
2907,33207.0,0 ECHOSTAR 11,0.006999999999999999,2.0,42164617.30403685,0.0616000220259527,277.94749938403055
3649,40946.0,0 MORELOS 3,0.006999999999999999,7.0,42164689.06979473,4.443801588943646,329.7653179122192
2892,33051.0,0 CHINASAT 9,0.006999999999999999,9.0,42164737.00724842,0.011100003968962257,131.13054688756802
2555,27632.0,0 NIMIQ 2,0.006999999999999999,12.0,42164735.88590293,4.887201747487597,74.20632653351385
3961,42432.0,0 SES 10,0.006999999999999999,3.0,42164681.50073554,0.015600005578001003,83.62632990176829
1868,22796.0,0 ACTS,0.006999999999999999,-1.0,42164705.889938414,14.57100521006748,10.880903890619946
3663,41029.0,0 BADR 7,0.006999999999999999,8.0,42164701.40456511,0.04640001659097735,260.7308932279913
3972,42747.0,0 GSAT 19,0.006999999999999999,2.0,42164724.672452,0.06730002406406843,276.89209900665736
1877,22836.0,0 RADUGA 30,0.006999999999999999,13.0,42164661.59692946,14.821505299637305,2.436700871276606
3971,42741.0,0 EUTE 172B,0.006999999999999999,-1.0,42164941.93439078,0.0239000085457836,210.33887520961784
3970,42740.0,0 VIASAT 2,0.006999999999999999,-1.0,42164832.60222661,0.009500003396859587,155.64715565382562
2886,32951.0,0 GALAXY 18,0.006999999999999999,1.0,42164816.34263195,0.01210000432652642,100.77653603406529
3610,40875.0,0 EUTE 8 WEST B,0.006999999999999999,-1.0,42164924.55333268,0.06830002442163262,345.82032365291184
2874,32779.0,0 TIANLIAN 1-01,0.006999999999999999,-1.0,42164760.83585798,4.644501660706774,71.50282556683912
2361,26038.0,0 GALAXY 11,0.006999999999999999,1.0,42164744.29599602,1.7922006408265,94.4199337611729
3964,42692.0,0 SGDC,0.006999999999999999,-1.0,42164854.18826439,0.01570000561375742,76.92962750726835
3613,40882.0,0 INMARSAT 5-F3,0.006999999999999999,1.0,42164758.31282714,0.013700004898629093,92.76193316833151
4628,44048.0,0 NUSANTARA SATU,0.006999999999999999,1.0,42165012.580166094,0.01340000479135984,95.32913408627023
2563,27691.0,0 USA 167,0.006999999999999999,-1.0,42164795.87799202,7.0976025378474334,57.55432057935536
